CustomerID,Lookalikes
C0001,"[('C0137', 0.999217832279607), ('C0152', 0.9926672993426424), ('C0056', 0.9924765141007822)]"
C0002,"[('C0029', 0.9996304690463753), ('C0199', 0.9988395570925731), ('C0010', 0.9988085056977561)]"
C0003,"[('C0005', 0.9999316372091099), ('C0178', 0.9995431225327014), ('C0073', 0.9993682335532762)]"
C0004,"[('C0067', 0.9998110253764195), ('C0021', 0.9996692174290881), ('C0075', 0.9992443427977117)]"
C0005,"[('C0003', 0.9999316372091099), ('C0073', 0.9994874349833), ('C0178', 0.9993968050717345)]"
C0006,"[('C0079', 0.9999839458199932), ('C0117', 0.9984866635960526), ('C0196', 0.9927729630793349)]"
C0007,"[('C0085', 0.9998021851965131), ('C0140', 0.9975995882522105), ('C0092', 0.9946209945264602)]"
C0008,"[('C0084', 0.9955933187236518), ('C0194', 0.9943770439998987), ('C0154', 0.9912685285967721)]"
C0009,"[('C0077', 0.9998301326192339), ('C0032', 0.9979638100758664), ('C0002', 0.9974710957972688)]"
C0010,"[('C0029', 0.9997659902062712), ('C0025', 0.9993819482366813), ('C0002', 0.9988085056977561)]"
C0011,"[('C0183', 0.9999186843704124), ('C0048', 0.9999179881003792), ('C0016', 0.9998950587595802)]"
C0012,"[('C0136', 0.9996801401323758), ('C0102', 0.9996787620546261), ('C0155', 0.9979366412614379)]"
C0013,"[('C0045', 0.9999850541873875), ('C0143', 0.9999367053364299), ('C0041', 0.9993264434862141)]"
C0014,"[('C0128', 0.9984233916684148), ('C0058', 0.9953991252337787), ('C0151', 0.9948962455958005)]"
C0015,"[('C0132', 0.9996507578088372), ('C0036', 0.9990450718923489), ('C0035', 0.9982735934931244)]"
C0016,"[('C0048', 0.999998588493038), ('C0183', 0.9999984954681655), ('C0064', 0.9999666004507578)]"
C0017,"[('C0162', 0.9997423724063488), ('C0113', 0.9996274003476472), ('C0093', 0.9984978156044421)]"
C0018,"[('C0200', 0.9999999849151834), ('C0170', 0.9999995092237579), ('C0182', 0.9999991894111295)]"
C0019,"[('C0172', 0.9999952709267993), ('C0116', 0.9877534283129894), ('C0034', 0.951967054094429)]"
C0020,"[('C0110', 0.999505686061345), ('C0042', 0.9966719210594914), ('C0129', 0.9965795434481566)]"
